FID,BH_2010,BH_2020,MODIS_2010,MODIS_2020,city_name,buffer_id
1521,6.111464968152865,14.013239973334858,28.04166666666667,28.609419759114584,贺州市,11.0
1522,11.422567382366374,18.116692132847287,28.125543212890626,28.627717590332033,贺州市,10.0
1523,6.141681901279709,12.945034296616264,27.77010955810547,28.47608642578125,贺州市,9.0
1524,1.255803368229404,11.41114986979443,27.736594645182294,28.539491780598965,贺州市,8.0
1525,0.253765403925148,11.349829166493516,27.602173868815107,28.52246398925781,贺州市,7.0
1526,0.032891731384194,7.212527691049779,27.4926628112793,28.38695678710937,贺州市,6.0
1527,0.011850501367366,4.660175344218379,27.432245890299484,28.225362141927082,贺州市,5.0
1528,0.00958904109589,4.490056697358476,27.327717590332032,28.01956481933594,贺州市,4.0
1529,0.005486968449931,3.053344870126375,27.251811726888015,27.932246907552084,贺州市,3.0
1530,0.0,3.309083584816225,27.08478240966797,27.797283935546876,贺州市,2.0
1531,0.0,2.391510197456847,26.861956024169924,27.594837188720703,贺州市,1.0
1532,0.0,1.239994274672641,26.673912556966144,27.43007202148437,贺州市,0.0
1533,0.0,0.0,27.45380401611328,27.711956787109372,来宾市,20.0
1534,0.0,0.0,27.45869598388672,27.767391967773438,来宾市,19.0
1535,0.0,0.0,27.578533172607422,27.905162811279297,来宾市,18.0
1536,0.0390625,0.4401405212727,27.729347737630206,28.070652262369794,来宾市,17.0
1537,0.0390625,0.512712652965259,27.96847839355469,28.409420776367188,来宾市,16.0
1538,0.003209536909674,1.404037157694499,28.046739196777345,28.45869598388672,来宾市,15.0
1539,0.244832338079926,7.800119840970604,28.10072428385417,28.49202880859375,来宾市,14.0
1540,0.445722171113156,12.91591569651728,28.19275309244792,28.56775309244792,来宾市,13.0
1541,1.158882783882783,14.159202451291293,28.213043212890625,28.6364128112793,来宾市,12.0
1542,3.860358291226458,18.002701023350593,28.22644958496094,28.69746398925781,来宾市,11.0
1543,5.608915441176474,20.217511966664308,28.251087443033857,28.74166768391927,来宾市,10.0
1544,7.034309240622144,19.785214147260117,28.275000000000002,28.742935180664062,来宾市,9.0
1545,9.21635277905375,17.334896647411842,28.302174886067707,28.741304524739583,来宾市,8.0
1546,9.991727941176478,14.557695305865744,28.35724690755208,28.771739705403647,来宾市,7.0
1547,7.445517241379314,12.73072715945866,28.344837188720703,28.733967590332032,来宾市,6.0
1548,5.028965517241379,12.13801040957051,28.3,28.67934773763021,来宾市,5.0
1549,3.209174311926605,8.057172252285865,28.193478393554688,28.57717386881511,来宾市,4.0
1550,0.807267709291628,6.174452335938164,28.1625,28.526629638671878,来宾市,3.0
1551,0.805338242061666,6.035282596297885,28.11847839355469,28.511594645182296,来宾市,2.0
1552,0.254587155963303,4.446489893871805,28.098188273111983,28.48586934407552,来宾市,1.0
1553,0.174333026678933,4.286802291870117,28.09456481933594,28.469565582275393,来宾市,0.0
