FID,BH_2010,BH_2020,MODIS_2010,MODIS_2020,city_name,buffer_id,distance,predict_2010,residual_2010,predict_2020,residual_2020
8374,2.38156045,6.363636946,22.51640955,20.74463526,七台河市,39,9,7435.335314570951,-7412.81890502095,76.87375871895573,-56.12912345895573
8375,2.105587879,6.235716631,22.47384718,20.70632403,七台河市,38,8,5003.7495707900125,-4981.275723610012,72.81931353803942,-52.11298950803942
8376,1.960150023,5.98565506,22.405896,20.64074425,七台河市,37,7,3968.7204448046155,-3946.3145488046152,65.46089997802126,-44.82015572802126
8377,1.703566267,5.458449505,22.35714763,20.60059273,七台河市,36,6,2510.5340160939877,-2488.176868463988,52.259751387073244,-31.659158657073245
8378,1.281016909,4.626987843,22.28030308,20.52091555,七台河市,35,5,973.7371548118815,-951.4568517318816,37.095697961086984,-16.574782411086982
8379,1.006017741,4.334050295,22.2092072,20.46361887,七台河市,34,4,428.75700782283786,-406.5478006228379,33.18669089825659,-12.723072028256592
8380,0.794655415,3.864159058,22.15635704,20.42694328,七台河市,33,3,191.15294141077257,-168.99658437077258,28.250091048330614,-7.823147768330614
8381,0.616358592,3.337584573,22.01745712,20.35316199,七台河市,32,2,82.25315753574193,-60.23570041574193,24.40237046533021,-4.049208475330211
8382,0.453486554,2.55033793,21.88362765,20.27224865,七台河市,31,1,35.39185016170349,-13.508222511703487,21.239405353321814,-0.9671567033218125
8383,0.315902607,1.741500019,21.6757812,20.1375,七台河市,30,0,21.6757812,0.0,20.1375,0.0
8384,0.108131353,1.038554051,21.4348785,19.96828645,七台河市,29,-1,21.4348785,0.0,19.96828645,0.0
8385,0.039398085,0.487158995,21.31314865,19.87976857,七台河市,28,-2,21.31314865,0.0,19.87976857,0.0
8386,0.0057087,0.219485945,21.14762841,19.74772727,七台河市,27,-3,21.14762841,0.0,19.74772727,0.0
8387,0.00011733,0.204295358,21.05461139,19.67684456,七台河市,26,-4,21.05461139,0.0,19.67684456,0.0
8388,0.00011732,0.254012167,20.99505934,19.62322138,七台河市,25,-5,20.99505934,0.0,19.62322138,0.0
8389,0.000117325,0.264230572,20.94828722,19.57144267,七台河市,24,-6,20.94828722,0.0,19.57144267,0.0
8390,0.0,0.287046379,20.92918804,19.55473148,七台河市,23,-7,20.92918804,0.0,19.55473148,0.0
8391,0.0,0.300654958,20.96475631,19.58570497,七台河市,22,-8,20.96475631,0.0,19.58570497,0.0
8392,0.003091372,0.241934008,20.90711462,19.57269449,七台河市,21,-9,20.90711462,0.0,19.57269449,0.0
8393,0.003092219,0.209084503,20.84521055,19.5248982,七台河市,20,-10,20.84521055,0.0,19.5248982,0.0
8394,0.002543335,0.167479024,20.79161005,19.47387915,七台河市,19,-11,20.79161005,0.0,19.47387915,0.0
8395,0.0,0.084453062,20.69638748,19.39488498,七台河市,18,-12,20.69638748,0.0,19.39488498,0.0
8396,0.0,0.00482461,20.65087654,19.35014028,七台河市,17,-13,20.65087654,0.0,19.35014028,0.0
8397,0.0,0.004829052,20.56475627,19.31986172,七台河市,16,-14,20.56475627,0.0,19.31986172,0.0
8398,0.0,0.0,20.53573779,19.30698284,七台河市,15,-15,20.53573779,0.0,19.30698284,0.0
8399,0.0,0.0,20.48310279,19.29492752,七台河市,14,-16,20.48310279,0.0,19.29492752,0.0
8400,0.0,0.0,20.42259554,19.28316863,七台河市,13,-17,20.42259554,0.0,19.28316863,0.0
8401,0.0,0.0,20.41982099,19.30869567,七台河市,12,-18,20.41982099,0.0,19.30869567,0.0
8402,0.0,0.0,20.38465091,19.29558628,七台河市,11,-19,20.38465091,0.0,19.29558628,0.0
8403,0.0,0.0,20.40276683,19.28106061,七台河市,10,-20,20.40276683,0.0,19.28106061,0.0
8404,0.0,0.0,20.4116848,19.26260195,七台河市,9,-21,20.4116848,0.0,19.26260195,0.0
8405,0.0,0.0,20.4050952,19.22846465,七台河市,8,-22,20.4050952,0.0,19.22846465,0.0
8406,0.0,0.0,20.40003306,19.22318837,七台河市,7,-23,20.40003306,0.0,19.22318837,0.0
8407,0.0,0.0,20.38593976,19.1999999,七台河市,6,-24,20.38593976,0.0,19.1999999,0.0
8408,0.0,0.0,20.35471025,19.18962444,七台河市,5,-25,20.35471025,0.0,19.18962444,0.0
8409,0.0,0.0,20.37868911,19.22312252,七台河市,4,-26,20.37868911,0.0,19.22312252,0.0
