city,size_1,BH_2010,BH_2020,UHAE_range,UHAE_temp,range_2010,temp_2010,range_2020,temp_2020,GDP,population,风向差(绝对值),speed_2010(m/s),speed_2020(m/s),size_2,center_bh_rise(m)
临沧市,small,2.625547966,7.632520077,9.420100509,0.663107592,0.989777658,0.100234765,5.566838058,0.433095721,821.32,228.8936076,0,2.547586133,3.087862745,small,5.006972111
临高县,small,1.021260997,6.834931672,7.28874867,0.823591517,0.300345911,0.327408946,1.413312602,0.12895787,204.22,42.37217589,0,4.22307591,3.709168461,small,5.813670675
丽江市,small,3.397463318,11.35832475,8.418217619,0.705266609,0.455749897,0.398263402,6.866999069,0.814395782,512.75,127.5307555,22.5,2.809024062,3.239730255,small,7.960861432
乌兰察布市,small,2.688357176,12.12263151,8.962591955,0.70277085,0.400012314,0.111290876,7.10981482,0.561572962,814,170.3899357,22.5,4.363333674,4.44634592,small,9.434274334
乐东黎族自治县,small,0.354598702,3.807052063,6.959732987,0.55886813,0.200120678,0.099895674,9.776305264,0.327241685,151.11,47.09919074,0,4.752785825,5.053807426,small,3.452453361
乐山市,small,3.846183687,15.79091702,10.21080364,0.782348297,0.794965969,0.406108081,9.176100874,0.832911985,2001.17,316.8659889,0,1.898064192,1.970719538,small,11.94473333
云浮市,small,4.356790884,10.1487279,5.725398774,0.596822374,1.870853164,0.102314561,8.941019263,0.619948292,1033.62,241.2848335,0,4.215819538,4.631482969,small,5.791937016
伊犁哈萨克自治州,small,2.068793298,12.92825807,9.670972535,0.721493227,0.019710727,0.287038045,10.1341183,0.818008488,2338.11,280.5759577,22.5,1.508615194,1.47628431,small,10.85946477
保山市,small,3.335199758,10.90369021,8.175920375,0.562933071,1.928949131,0.360793072,5.865102362,0.82301784,1052.58,246.7638367,0,2.427045529,2.914739875,small,7.568490452
儋州市,small,1.135681293,8.128468695,9.101686184,0.652691975,0.575671548,0.163470269,8.70417263,0.508741515,359.41,95.03083406,22.5,3.747547628,3.157600135,small,6.992787402
