city_name,year,R,R的平方,p值,RMSE,样本数量
南通市,2010,0.942,0.8873,8.424800e-15,0.0386,30.0
南通市,2020,0.8945,0.8001,6.157200e-11,0.03,29.0
南阳市,2010,0.9416,0.8867,2.746100e-14,0.0594,29.0
南阳市,2020,0.9919,0.9839,1.179600e-26,0.0206,30.0
博尔塔拉蒙古自治州,2010,0.4171,0.174,1.956700e-02,0.8568,31.0
博尔塔拉蒙古自治州,2020,0.9635,0.9284,1.451600e-17,0.2268,30.0
厦门市,2010,0.9076,0.8238,7.194500e-04,0.0618,9.0
厦门市,2020,0.9673,0.9357,2.010800e-05,0.0482,9.0
双河市,2010,0.4375,0.1914,1.560800e-02,0.4729,30.0
双河市,2020,0.7787,0.6064,4.022300e-07,0.289,30.0
双鸭山市,2010,0.7223,0.5216,9.711700e-06,0.0837,29.0
双鸭山市,2020,0.6023,0.3628,5.460500e-04,0.1159,29.0
可克达拉市,2010,,0.0,nan,0.2389,28.0
可克达拉市,2020,0.7196,0.5179,7.398400e-06,0.177,30.0
台州市,2010,0.9764,0.9533,1.671300e-19,0.0337,29.0
台州市,2020,0.9876,0.9754,6.998500e-25,0.0377,31.0
台湾省,2010,0.7552,0.5703,9.124500e-07,1.1342,31.0
台湾省,2020,0.8326,0.6933,1.153600e-08,1.0868,30.0
合肥市,2010,0.99,0.98,2.478000e-19,0.0172,23.0
合肥市,2020,0.962,0.9254,2.581200e-13,0.046,23.0
吉安市,2010,0.7106,0.5049,1.567300e-05,0.0986,29.0
吉安市,2020,0.7143,0.5103,1.346500e-05,0.15,29.0
吉林市,2010,0.8687,0.7546,2.380400e-10,0.2312,31.0
吉林市,2020,0.9803,0.961,1.498800e-20,0.0899,29.0
吐鲁番市,2010,0.7405,0.5484,4.373900e-06,1.1711,29.0
吐鲁番市,2020,0.7228,0.5224,6.456600e-06,1.7262,30.0
吕梁市,2010,0.7615,0.5799,6.516100e-07,0.6994,31.0
吕梁市,2020,0.8726,0.7614,3.290000e-10,0.4203,30.0
吴忠市,2010,0.4406,0.1941,1.311500e-02,0.3217,31.0
吴忠市,2020,0.7909,0.6256,1.973400e-07,0.2453,30.0
周口市,2010,0.9901,0.9804,2.592800e-26,0.0126,31.0
周口市,2020,0.9944,0.9889,6.468800e-29,0.0142,30.0
呼伦贝尔市,2010,0.4634,0.2147,1.135400e-02,0.1057,29.0
呼伦贝尔市,2020,0.9239,0.8537,8.838500e-13,0.0942,29.0
呼和浩特市,2010,0.8842,0.7818,9.308800e-11,0.0614,30.0
呼和浩特市,2020,0.9214,0.8489,1.986000e-13,0.0436,31.0
和田地区,2010,0.8993,0.8087,7.844900e-11,0.2375,28.0
和田地区,2020,0.9974,0.9949,2.744000e-31,0.0487,28.0
咸宁市,2010,0.85,0.7226,1.438600e-09,0.1115,31.0
咸宁市,2020,0.8817,0.7774,5.718900e-11,0.1147,31.0
咸阳市,2010,0.7612,0.5794,1.040200e-06,0.1139,30.0
咸阳市,2020,0.4456,0.1986,1.199000e-02,0.1049,31.0
哈密市,2010,0.9061,0.821,5.674500e-12,0.2441,30.0
哈密市,2020,0.816,0.6658,2.218000e-08,0.3036,31.0
哈尔滨市,2010,0.9931,0.9863,1.040900e-26,0.0357,29.0
哈尔滨市,2020,0.9985,0.997,6.062400e-37,0.022,30.0
唐山市,2010,0.9773,0.9551,4.290900e-21,0.0672,31.0
唐山市,2020,0.9967,0.9934,3.758900e-33,0.0314,31.0
商丘市,2010,0.9114,0.8306,1.055700e-12,0.0253,31.0
商丘市,2020,0.9956,0.9911,2.939500e-29,0.0095,29.0
商洛市,2010,,0.0,nan,0.172,30.0
商洛市,2020,0.4553,0.2073,1.006500e-02,0.1769,31.0
喀什地区,2010,0.3479,0.1211,5.955800e-02,0.2047,30.0
喀什地区,2020,0.9653,0.9318,7.331600e-18,0.0445,30.0
嘉兴市,2010,0.9337,0.8718,1.815600e-14,0.0388,31.0
嘉兴市,2020,0.9451,0.8932,3.940200e-15,0.0329,30.0
