city_name,year,R,R的平方,p值,RMSE,样本数量
定西市,2020,0.8758,0.7671,4.918500e-10,0.1483,29.0
宜宾市,2010,0.8021,0.6434,5.770800e-08,0.0845,31.0
宜宾市,2020,0.958,0.9177,3.598100e-16,0.0159,29.0
宜昌市,2010,0.8483,0.7197,1.677900e-09,0.0891,31.0
宜昌市,2020,0.8555,0.7318,3.375600e-09,0.0873,29.0
宜春市,2010,0.7086,0.5021,8.169300e-06,0.4148,31.0
宜春市,2020,0.9478,0.8983,6.201000e-16,0.2116,31.0
宝鸡市,2010,0.7008,0.4911,1.130900e-05,0.2493,31.0
宝鸡市,2020,0.8099,0.6559,3.420800e-08,0.2021,31.0
宣城市,2010,0.6713,0.4507,6.703800e-05,0.2081,29.0
宣城市,2020,0.9263,0.8581,5.809100e-13,0.0808,29.0
宿州市,2010,0.9595,0.9207,1.668000e-17,0.0863,31.0
宿州市,2020,0.9948,0.9897,2.316200e-29,0.0128,30.0
宿迁市,2010,0.9933,0.9866,9.393700e-28,0.0181,30.0
宿迁市,2020,0.9687,0.9385,7.035800e-18,0.0291,29.0
屯昌县,2010,0.5308,0.2818,2.546200e-03,0.161,30.0
屯昌县,2020,0.6769,0.4582,2.897800e-05,0.2297,31.0
山南市,2010,0.5368,0.2881,1.850100e-03,2.0276,31.0
山南市,2020,0.9169,0.8407,4.308800e-13,0.9573,31.0
岳阳市,2010,0.8561,0.7329,8.245800e-10,0.1023,31.0
岳阳市,2020,0.8853,0.7838,3.729300e-11,0.0871,31.0
崇左市,2010,0.7213,0.5203,6.880000e-06,0.1702,30.0
崇左市,2020,0.7968,0.6349,8.196000e-08,0.1718,31.0
巴中市,2010,0.9358,0.8757,2.790100e-13,0.254,28.0
巴中市,2020,0.9489,0.9004,1.543600e-14,0.2604,28.0
巴彦淖尔市,2010,0.9893,0.9787,4.144800e-24,0.0244,29.0
巴彦淖尔市,2020,0.9544,0.9109,9.063500e-17,0.0281,31.0
巴音郭楞蒙古自治州,2010,0.7618,0.5803,2.490900e-06,0.4469,28.0
巴音郭楞蒙古自治州,2020,0.6359,0.4044,2.095400e-04,0.4367,29.0
常州市,2010,0.992,0.9841,1.030800e-26,0.0068,30.0
常州市,2020,0.986,0.9721,1.567700e-22,0.0184,29.0
常德市,2010,0.9831,0.9664,3.537300e-22,0.0554,30.0
常德市,2020,0.9971,0.9942,6.961100e-33,0.0168,30.0
平凉市,2010,0.9056,0.8201,6.104800e-12,0.0648,30.0
平凉市,2020,0.8576,0.7354,1.419600e-09,0.071,30.0
平顶山市,2010,0.9617,0.9249,1.053900e-16,0.0445,29.0
平顶山市,2020,0.9529,0.908,1.625100e-15,0.0682,29.0
广元市,2010,0.8251,0.6808,2.031600e-08,0.3233,30.0
广元市,2020,0.7879,0.6208,2.365000e-07,0.3886,30.0
广安市,2010,0.2443,0.0597,2.015500e-01,0.3276,29.0
广安市,2020,0.898,0.8064,3.962500e-11,0.2741,29.0
广州市,2010,0.9679,0.9368,6.147200e-19,0.0355,31.0
广州市,2020,0.8209,0.6738,2.769000e-08,0.0488,30.0
庆阳市,2010,0.8304,0.6896,1.366700e-08,0.1002,30.0
庆阳市,2020,0.4037,0.163,2.431100e-02,0.12,31.0
廊坊市,2010,0.9779,0.9563,2.937800e-21,0.0484,31.0
廊坊市,2020,0.992,0.9841,1.286300e-27,0.0319,31.0
延安市,2010,0.8669,0.7515,5.844600e-10,0.2736,30.0
延安市,2020,0.9826,0.9656,9.119000e-23,0.0727,31.0
延边朝鲜族自治州,2010,0.9532,0.9086,1.320000e-16,0.2101,31.0
延边朝鲜族自治州,2020,0.99,0.98,2.400300e-25,0.0971,30.0
开封市,2010,0.9991,0.9982,4.248600e-40,0.0094,30.0
开封市,2020,0.9904,0.9809,1.787700e-26,0.032,31.0
张家口市,2010,0.9631,0.9276,1.692500e-17,0.0482,30.0
张家口市,2020,0.9198,0.8461,6.759100e-13,0.0448,30.0
张家界市,2010,0.8532,0.728,1.075600e-09,0.4145,31.0
张家界市,2020,0.7504,0.5631,1.165100e-06,0.5123,31.0
张掖市,2010,0.559,0.3125,1.620000e-03,0.2886,29.0
张掖市,2020,0.4975,0.2475,5.157300e-03,0.3568,30.0
徐州市,2010,0.9944,0.9888,7.466500e-29,0.0311,30.0
徐州市,2020,0.9946,0.9891,4.620100e-28,0.014,29.0
德宏傣族景颇族自治州,2010,0.5522,0.305,1.277100e-03,0.8815,31.0
德宏傣族景颇族自治州,2020,0.942,0.8875,8.268100e-15,0.4162,30.0
德州市,2010,0.9944,0.9888,6.892500e-28,0.0294,29.0
德州市,2020,0.9967,0.9933,6.386600e-31,0.016,29.0
德阳市,2010,0.9521,0.9066,1.818000e-16,0.0311,31.0
德阳市,2020,0.9971,0.9941,6.298700e-34,0.012,31.0
忻州市,2010,0.6753,0.456,3.075400e-05,1.1361,31.0
忻州市,2020,0.8369,0.7005,4.438000e-09,0.8569,31.0
怀化市,2010,0.5327,0.2837,2.036100e-03,0.9922,31.0
怀化市,2020,0.7062,0.4988,9.027800e-06,0.867,31.0
怒江傈僳族自治州,2010,0.7712,0.5948,3.821500e-07,1.781,31.0
怒江傈僳族自治州,2020,0.8562,0.733,8.197900e-10,1.3899,31.0
恩施土家族苗族自治州,2010,0.7391,0.5463,4.657000e-06,0.5227,29.0
恩施土家族苗族自治州,2020,0.9404,0.8844,3.593100e-14,0.3078,29.0
惠州市,2010,0.9725,0.9458,1.271100e-18,0.0642,29.0
惠州市,2020,0.9592,0.92,6.842100e-17,0.1138,30.0
成都市,2010,0.9392,0.882,4.759500e-14,0.0312,29.0
成都市,2020,0.9822,0.9648,6.835900e-22,0.0361,30.0
扬州市,2010,0.973,0.9467,1.021700e-18,0.0372,29.0
扬州市,2020,0.9552,0.9124,7.166800e-17,0.041,31.0
承德市,2010,0.5833,0.3402,7.170200e-04,0.3312,30.0
承德市,2020,0.9172,0.8412,1.049500e-12,0.1627,30.0
抚州市,2010,0.9392,0.8821,1.597800e-14,0.0659,30.0
抚州市,2020,0.9932,0.9864,8.606900e-26,0.0203,28.0
抚顺市,2010,0.9586,0.9189,2.967200e-16,0.1238,29.0
抚顺市,2020,0.9874,0.9749,5.879000e-24,0.0867,30.0
拉萨市,2010,0.5058,0.2558,3.700600e-03,1.166,31.0
拉萨市,2020,0.8683,0.7539,5.081100e-10,0.6358,30.0
揭阳市,2010,0.8336,0.695,5.796500e-09,0.1379,31.0
揭阳市,2020,0.9879,0.9759,2.237200e-23,0.0567,29.0
攀枝花市,2010,0.8547,0.7306,9.360800e-10,0.6938,31.0
攀枝花市,2020,0.9803,0.961,5.494500e-22,0.2721,31.0
文山壮族苗族自治州,2010,0.8596,0.7389,5.905700e-10,0.2545,31.0
文山壮族苗族自治州,2020,0.9672,0.9355,8.338400e-19,0.1245,31.0
文昌市,2010,0.9404,0.8843,2.206000e-09,0.0432,19.0
文昌市,2020,0.8244,0.6796,1.421200e-05,0.0291,19.0
新乡市,2010,0.9018,0.8133,1.028000e-11,0.0408,30.0
新乡市,2020,0.983,0.9664,1.988000e-21,0.032,29.0
新余市,2010,0.9853,0.9709,2.853600e-22,0.0515,29.0
新余市,2020,0.9751,0.9509,1.574000e-20,0.0796,31.0
新星市,2010,0.0734,0.0054,6.947000e-01,0.501,31.0
新星市,2020,0.1989,0.0396,2.833400e-01,0.4486,31.0
无锡市,2010,0.9984,0.9968,2.955500e-35,0.0155,29.0
无锡市,2020,0.9877,0.9756,3.997100e-24,0.0364,30.0
日喀则市,2010,0.633,0.4006,1.327700e-04,1.1585,31.0
日喀则市,2020,0.6867,0.4716,1.988000e-05,1.1563,31.0
日照市,2010,0.9307,0.8663,7.881200e-04,0.0404,8.0
日照市,2020,0.997,0.994,4.805200e-09,0.0417,9.0
昆明市,2010,0.9651,0.9315,3.037900e-17,0.1943,29.0
昆明市,2020,0.9699,0.9406,4.326600e-18,0.1723,29.0
昆玉市,2010,0.2069,0.0428,2.726800e-01,0.3208,30.0
昆玉市,2020,0.2507,0.0629,1.895800e-01,0.2953,29.0
昌吉回族自治州,2010,0.9737,0.9482,3.464500e-20,0.1156,31.0
昌吉回族自治州,2020,0.9241,0.854,1.206200e-13,0.2376,31.0
昌江黎族自治县,2010,0.6558,0.43,1.126100e-04,1.0359,29.0
昌江黎族自治县,2020,0.69,0.4761,3.447300e-05,1.0531,29.0
昌都市,2010,0.7648,0.5848,2.153000e-06,1.667,28.0
昌都市,2020,,0.0,nan,2.7759,31.0
昭通市,2010,0.0753,0.0057,6.873800e-01,0.4442,31.0
昭通市,2020,0.6751,0.4558,4.265200e-05,0.4471,30.0
晋中市,2010,0.8035,0.6457,1.535500e-07,0.418,29.0
晋中市,2020,0.9595,0.9206,6.164900e-17,0.2428,30.0
晋城市,2010,0.6227,0.3878,1.830300e-04,0.525,31.0
晋城市,2020,0.8072,0.6516,4.099400e-08,0.3949,31.0
普洱市,2010,0.2687,0.0722,1.438300e-01,0.4338,31.0
普洱市,2020,0.8321,0.6924,6.539700e-09,0.2134,31.0
景德镇市,2010,0.4726,0.2233,7.261600e-03,0.3545,31.0
