FID,BH_2010,BH_2020,MODIS_2010,MODIS_2020,city_name,buffer_id,distance,predict_2010,residual_2010,predict_2020,residual_2020,predict_20-10
16284,0,0,20.12408831,19.07734931,忻州市,5,-25,20.12408831,0,19.07734931,0,-1.046739
16285,0,0,20.10364651,19.08453733,忻州市,4,-26,20.10364651,0,19.08453733,0,-1.01910918
16286,0,0,20.04840834,19.07985262,忻州市,3,-27,20.04840834,0,19.07985262,0,-0.96855572
16287,0,0,19.81248116,18.94625197,忻州市,2,-28,19.81248116,0,18.94625197,0,-0.86622919
16288,0,0,19.62451267,18.8497003,忻州市,1,-29,19.62451267,0,18.8497003,0,-0.77481237
16289,0,0,19.35337324,18.69209158,忻州市,0,-30,19.35337324,0,18.69209158,0,-0.66128166
9937,0,0,26.7998386,27.15539438,怀化市,60,30,25.57116842,1.228670177,25.67151952,1.48387486,0.100351097
9938,0,0,26.7719401,27.13510448,怀化市,59,29,25.57116842,1.200771677,25.67151952,1.46358496,0.100351097
9939,0,0,26.74728241,27.11689288,怀化市,58,28,25.57116842,1.176113987,25.67151952,1.44537336,0.100351097
9940,0,0,26.75777576,27.11935613,怀化市,57,27,25.57116842,1.186607337,25.67151952,1.44783661,0.100351097
9941,0,0,26.78173077,27.13382122,怀化市,56,26,25.57116842,1.210562347,25.67151952,1.4623017,0.100351097
9942,0,0,26.83204358,27.17199988,怀化市,55,25,25.57116842,1.260875157,25.67151952,1.50048036,0.100351097
9943,0,0,26.85374417,27.18615112,怀化市,54,24,25.57116842,1.282575747,25.67151952,1.5146316,0.100351097
9944,0,0,26.86690843,27.19231059,怀化市,53,23,25.57116842,1.295740007,25.67151952,1.52079107,0.100351097
9945,0,0,26.85626111,27.18391272,怀化市,52,22,25.57116842,1.285092687,25.67151952,1.5123932,0.100351097
9946,0,0,26.82617082,27.16592783,怀化市,51,21,25.57116842,1.255002397,25.67151952,1.49440831,0.100351097
9947,0,0,26.79265234,27.14939099,怀化市,50,20,25.57116842,1.221483917,25.67151952,1.47787147,0.100351097
9948,0,0,26.78082629,27.14178259,怀化市,49,19,25.57116842,1.209657867,25.67151952,1.47026307,0.100351097
9949,0,0,26.76521747,27.13545168,怀化市,48,18,25.57116842,1.194049047,25.67151952,1.46393216,0.100351097
9950,0,0,26.76396948,27.13832533,怀化市,47,17,25.57116842,1.192801057,25.67151952,1.46680581,0.100351097
9951,0,0.040413928,26.79417407,27.16308691,怀化市,46,16,25.57116842,1.223005647,25.70825464,1.454832271,0.137086216
9952,0,0.199939691,26.81772602,27.18641299,怀化市,45,15,25.57116842,1.246557597,25.85014889,1.336264097,0.27898047
9953,0,0.563945222,26.86152197,27.22786938,怀化市,44,14,25.57116842,1.290353547,26.15566126,1.072208122,0.584492834
9954,0,0.775393987,26.89813086,27.26956506,怀化市,43,13,25.57116842,1.326962437,26.32173848,0.947826578,0.750570058
9955,0,0.900555483,26.90716621,27.28285014,怀化市,42,12,25.57116842,1.335997787,26.41618679,0.866663348,0.845018368
9956,0,1.22467329,26.91747519,27.30054333,怀化市,41,11,25.57116842,1.346306767,26.64772684,0.652816494,1.076558412
9957,0,1.360338364,26.89069592,27.27234766,怀化市,40,10,25.57116842,1.319527497,26.73916382,0.533183842,1.167995395
9958,0,1.281232407,26.86053525,27.24130425,怀化市,39,9,25.57116842,1.289366827,26.686235,0.555069253,1.115066573
9959,0.000988093,1.140231156,26.83310699,27.21639481,怀化市,38,8,25.57286043,1.260246555,26.58919463,0.627200183,1.016334193
9960,0.016301126,1.339544781,26.81360864,27.19456519,怀化市,37,7,25.59896951,1.21463913,26.72535578,0.469209409,1.126386271
9961,0.249147432,2.840594092,26.85886266,27.26902172,怀化市,36,6,25.97033276,0.888529902,27.5406255,-0.271603776,1.570292738
9962,1.037141444,4.63715485,26.91165198,27.33430432,怀化市,35,5,26.89945332,0.012198658,28.09040032,-0.756096001,1.190946999
9963,2.288820797,7.773605846,27.01931422,27.47909698,怀化市,34,4,27.53992071,-0.520606487,28.23484396,-0.755746978,0.694923251
9964,4.619607649,11.83870924,27.16630425,27.62922234,怀化市,33,3,27.28641145,-0.1201072,27.66569422,-0.036471883,0.379282773
9965,6.826246044,15.96063134,27.3306084,27.81126062,怀化市,32,2,27.35505725,-0.024448854,27.35746708,0.453793537,0.00240983
9966,7.786635694,19.23120839,27.46066061,27.95188129,怀化市,31,1,28.06801005,-0.607349445,28.13252515,-0.180643862,0.064515098
9967,7.195710191,19.52522661,27.45032213,27.96497577,怀化市,30,0,27.45032213,0,27.96497577,0,0.51465364
9968,5.849189082,18.58712339,27.39398006,27.94648837,怀化市,29,-1,27.39398006,0,27.94648837,0,0.55250831
9969,3.77198359,15.43429984,27.31475771,27.89239138,怀化市,28,-2,27.31475771,0,27.89239138,0,0.57763367
9970,1.910304589,11.75593889,27.15949026,27.76684782,怀化市,27,-3,27.15949026,0,27.76684782,0,0.60735756
9971,0.656155785,7.596489584,26.94334259,27.53908513,怀化市,26,-4,26.94334259,0,27.53908513,0,0.59574254
9972,0.092495551,4.195446142,26.67546017,27.18010025,怀化市,25,-5,26.67546017,0,27.18010025,0,0.50464008
9973,0.030583461,1.623954848,26.40595839,26.85833322,怀化市,24,-6,26.40595839,0,26.85833322,0,0.45237483
9974,0,0.208933147,26.12433131,26.49924739,怀化市,23,-7,26.12433131,0,26.49924739,0,0.37491608
9975,0,0.047830894,25.77817729,26.09887108,怀化市,22,-8,25.77817729,0,26.09887108,0,0.32069379
9976,0,0.026714741,25.38852185,25.68386938,怀化市,21,-9,25.38852185,0,25.68386938,0,0.29534753
9977,0,0.023867094,24.72562714,25.01367047,怀化市,20,-10,24.72562714,0,25.01367047,0,0.28804333
9978,0,0.036908405,24.29063539,24.60677255,怀化市,19,-11,24.29063539,0,24.60677255,0,0.31613716
9979,0,0.012018076,24.04859099,24.38429955,怀化市,18,-12,24.04859099,0,24.38429955,0,0.33570856
9980,0,0.024989948,23.9220317,24.26032621,怀化市,17,-13,23.9220317,0,24.26032621,0,0.33829451
9981,0,0.039854275,23.96897988,24.33900516,怀化市,16,-14,23.96897988,0,24.33900516,0,0.37002528
9982,0,0.039761374,24.13197467,24.51988233,怀化市,15,-15,24.13197467,0,24.51988233,0,0.38790766
9983,0,0.028684714,24.19973914,24.61256525,怀化市,14,-16,24.19973914,0,24.61256525,0,0.41282611
9984,0,0.012886519,24.63532627,25.05317741,怀化市,13,-17,24.63532627,0,25.05317741,0,0.41785114
9985,0,0.012916698,24.74755445,25.15725942,怀化市,12,-18,24.74755445,0,25.15725942,0,0.40970497
9986,0,0,25.04736645,25.44201502,怀化市,11,-19,25.04736645,0,25.44201502,0,0.39464857
9987,0,0.007435207,25.24523433,25.61601169,怀化市,10,-20,25.24523433,0,25.61601169,0,0.37077736
9988,0,0.007452579,25.51300006,25.86234772,怀化市,9,-21,25.51300006,0,25.86234772,0,0.34934766
9989,0,0.018594745,25.96789298,26.31266703,怀化市,8,-22,25.96789298,0,26.31266703,0,0.34477405
9990,0,0.032998772,26.19194822,26.54263266,怀化市,7,-23,26.19194822,0,26.54263266,0,0.35068444
9991,0,0.10561244,26.37926995,26.73722796,怀化市,6,-24,26.37926995,0,26.73722796,0,0.35795801
9992,0,0.149531663,26.57675558,26.94289281,怀化市,5,-25,26.57675558,0,26.94289281,0,0.36613723
9993,0,0.288448767,26.72399632,27.10735767,怀化市,4,-26,26.72399632,0,27.10735767,0,0.38336135
9994,0,0.453704446,26.89279344,27.28816427,怀化市,3,-27,26.89279344,0,27.28816427,0,0.39537083
9995,0,0.610644535,27.03269207,27.43131268,怀化市,2,-28,27.03269207,0,27.43131268,0,0.39862061
9996,0.00584332,0.701303474,27.12362037,27.5330685,怀化市,1,-29,27.12362037,0,27.5330685,0,0.40944813
