city_name,year,R,R的平方,p值,RMSE,样本数量
南充市,2010,0.9729,0.9465,2.428400e-19,0.0444,30.0
南充市,2020,0.991,0.9821,6.844000e-27,0.0342,31.0
南宁市,2010,-0.8847,0.7827,4.175600e-10,0.023,28.0
南宁市,2020,0.828,0.6856,9.054300e-09,0.0314,31.0
南平市,2010,0.8781,0.771,8.298000e-10,0.3839,28.0
南平市,2020,0.8824,0.7787,5.312000e-10,0.3657,28.0
南昌市,2010,0.7033,0.4946,1.020800e-05,0.0916,31.0
南昌市,2020,0.6669,0.4447,4.188700e-05,0.0513,31.0
南通市,2010,0.9148,0.8369,6.066600e-13,0.0939,31.0
南通市,2020,0.9139,0.8352,7.058900e-13,0.0521,31.0
南阳市,2010,0.9324,0.8693,2.407700e-14,0.0672,31.0
南阳市,2020,0.9974,0.9948,1.672200e-33,0.0099,30.0
博尔塔拉蒙古自治州,2010,-0.3188,0.1017,8.042000e-02,0.9682,31.0
博尔塔拉蒙古自治州,2020,-0.134,0.0179,4.724500e-01,0.8862,31.0
厦门市,2010,0.8704,0.7576,1.399300e-07,0.1119,22.0
厦门市,2020,0.9323,0.8691,2.768800e-10,0.0847,22.0
双河市,2010,-0.4369,0.1909,1.399600e-02,0.8449,31.0
双河市,2020,-0.0869,0.0076,6.419200e-01,0.7795,31.0
双鸭山市,2010,0.7843,0.6151,1.788500e-07,0.1263,31.0
双鸭山市,2020,0.717,0.5141,5.667800e-06,0.1358,31.0
可克达拉市,2010,,0.0,nan,0.2295,31.0
可克达拉市,2020,0.8279,0.6854,1.653200e-08,0.2247,30.0
台州市,2010,0.7014,0.492,1.573600e-05,0.1062,30.0
台州市,2020,0.897,0.8046,1.949800e-11,0.0852,30.0
台湾省,2010,0.7623,0.581,1.546100e-06,1.389,29.0
台湾省,2020,0.8094,0.6552,1.057400e-07,1.4437,29.0
合肥市,2010,0.8604,0.7403,5.454900e-10,0.0878,31.0
合肥市,2020,0.9756,0.9518,5.650600e-20,0.0559,30.0
吉安市,2010,0.8451,0.7143,4.220800e-09,0.0507,30.0
吉安市,2020,0.9546,0.9113,2.897200e-16,0.0453,30.0
吉林市,2010,0.8128,0.6607,2.775700e-08,0.2773,31.0
吉林市,2020,0.9313,0.8674,2.973100e-14,0.1784,31.0
吐鲁番市,2010,0.6104,0.3725,4.381400e-04,1.3782,29.0
吐鲁番市,2020,0.5163,0.2665,3.492900e-03,2.0595,30.0
吕梁市,2010,0.5838,0.3408,5.653700e-04,0.8303,31.0
吕梁市,2020,0.7107,0.505,7.481200e-06,0.5962,31.0
吴忠市,2010,0.195,0.038,2.931800e-01,0.3377,31.0
吴忠市,2020,0.2205,0.0486,2.332800e-01,0.4443,31.0
周口市,2010,0.9324,0.8694,2.385300e-14,0.0837,31.0
周口市,2020,0.995,0.99,1.563200e-30,0.0245,31.0
呼伦贝尔市,2010,-0.4828,0.2331,5.946900e-03,0.1204,31.0
呼伦贝尔市,2020,-0.6624,0.4388,9.058600e-05,0.1389,29.0
呼和浩特市,2010,0.9233,0.8524,9.926900e-13,0.1287,29.0
呼和浩特市,2020,0.9777,0.9559,3.324800e-21,0.0678,31.0
和田地区,2010,-0.4136,0.1711,2.072000e-02,0.3981,31.0
和田地区,2020,-0.3947,0.1558,2.800200e-02,0.3275,31.0
咸宁市,2010,0.9704,0.9417,1.438600e-17,0.0977,28.0
咸宁市,2020,0.9633,0.928,4.143300e-18,0.106,31.0
咸阳市,2010,0.9181,0.8429,3.531200e-13,0.0889,31.0
咸阳市,2020,0.9466,0.8961,8.469700e-16,0.0757,31.0
哈密市,2010,0.1302,0.0169,4.851800e-01,0.7569,31.0
哈密市,2020,0.4297,0.1846,1.779400e-02,0.5197,30.0
哈尔滨市,2010,0.9792,0.9588,1.255700e-21,0.0669,31.0
哈尔滨市,2020,0.9813,0.963,1.388200e-21,0.0851,30.0
唐山市,2010,0.802,0.6432,5.831300e-08,0.2396,31.0
唐山市,2020,0.8689,0.755,2.320800e-10,0.2263,31.0
商丘市,2010,0.9941,0.9882,1.214700e-25,0.0146,27.0
商丘市,2020,0.997,0.994,2.145500e-30,0.0156,28.0
商洛市,2010,0.5149,0.2651,3.599200e-03,0.1561,30.0
商洛市,2020,0.7987,0.638,1.219900e-07,0.1016,30.0
喀什地区,2010,0.5493,0.3017,2.029000e-03,0.2195,29.0
喀什地区,2020,0.4807,0.2311,6.193000e-03,0.1877,31.0
嘉兴市,2010,0.9739,0.9484,2.930700e-18,0.0225,28.0
嘉兴市,2020,0.879,0.7726,7.819600e-11,0.0556,31.0
嘉峪关市,2010,0.7126,0.5078,1.445000e-05,0.0674,29.0
嘉峪关市,2020,0.8582,0.7366,1.333200e-09,0.0766,30.0
四平市,2010,0.797,0.6352,2.289300e-07,0.1405,29.0
四平市,2020,0.9451,0.8932,1.239400e-14,0.0882,29.0
固原市,2010,0.4935,0.2435,4.786300e-03,0.4906,31.0
固原市,2020,0.6937,0.4813,1.508600e-05,0.4066,31.0
图木舒克市,2010,-0.2427,0.0589,2.133300e-01,0.1615,28.0
图木舒克市,2020,0.0332,0.0011,8.642600e-01,0.2425,29.0
塔城地区,2010,0.8728,0.7617,2.301200e-06,0.1094,18.0
塔城地区,2020,0.4971,0.2471,3.584100e-02,0.1466,18.0
大兴安岭地区,2010,0.9577,0.9172,3.148300e-17,0.0578,31.0
大兴安岭地区,2020,,0.0,nan,0.1808,29.0
大同市,2010,0.5719,0.327,7.771100e-04,0.1477,31.0
大同市,2020,0.7131,0.5085,6.730000e-06,0.0989,31.0
大庆市,2010,0.902,0.8136,5.577100e-11,0.0179,28.0
大庆市,2020,0.7549,0.5698,9.266800e-07,0.0569,31.0
大理白族自治州,2010,0.6312,0.3984,1.838800e-04,0.5557,30.0
大理白族自治州,2020,0.6389,0.4082,1.446600e-04,0.6087,30.0
大连市,2010,0.9882,0.9765,5.832600e-07,0.0211,9.0
大连市,2020,0.8996,0.8092,9.572000e-04,0.0343,9.0
天水市,2010,0.8255,0.6814,6.444100e-08,0.2821,28.0
天水市,2020,0.9257,0.8569,1.761700e-12,0.1755,28.0
天津市,2010,0.8984,0.8072,6.990000e-12,0.1476,31.0
天津市,2020,0.9527,0.9077,1.531100e-16,0.124,31.0
天门市,2010,0.949,0.9007,4.429300e-16,0.0432,31.0
天门市,2020,0.944,0.8911,1.607200e-14,0.0344,29.0
